date,pjm_pv_jeremy_scaled
42491.21,0.08185758
42491.25,0.069179027
42491.29,0.30025499
42491.33,0.41574015
42491.37,0.523559314
42491.42,0.49321781
42491.46,0.444807607
42491.5,0.408684112
42491.54,0.314020784
42491.58,0.234755419
42491.62,0.149592971
42491.67,0.061758305
42491.71,0.023370157
42491.75,0.000505259
42491.79,0
42491.83,0
42491.87,0
42491.92,0
42491.96,0
42492,0
42492.04,0
42492.08,0
42492.12,0
42492.17,0
42492.21,0.014092418
42492.25,0.043364229
42492.29,0.102306831
42492.33,0.12470972
42492.37,0.193157759
42492.42,0.212977781
42492.46,0.235906547
42492.5,0.173422853
42492.54,0.193209931
42492.58,0.191690698
42492.62,0.078021204
42492.67,0.094372713
42492.71,0.193751461
42492.75,0
42492.79,0
42492.83,0
42492.87,0
42492.92,0
42492.96,0
42493,0
42493.04,0
42493.08,0
42493.12,0
42493.17,0
42493.21,0.125742075
42493.25,0.061322997
42493.29,0.119620729
42493.33,0.182349615
42493.37,0.3143391
42493.42,0.405895117
42493.46,0.38805493
42493.5,0.564537346
42493.54,0.597451049
42493.58,0.51502545
42493.62,0.480017995
42493.67,0.32401831
42493.71,0.170667153
42493.75,0.000631568
42493.79,0
42493.83,0
42493.87,0
42493.92,0
42493.96,0
42494,0
42494.04,0
42494.08,0
42494.12,0
42494.17,0
42494.21,0.054781063
42494.25,0.064453847
42494.29,0.151221206
42494.33,0.196978354
42494.37,0.324748053
42494.42,0.388062549
42494.46,0.385764801
42494.5,0.307865175
42494.54,0.387284394
42494.58,0.255271234
42494.62,0.358814938
42494.67,0.177837782
42494.71,0.108661942
42494.75,0.001895434
42494.79,0
42494.83,0
42494.87,0
42494.92,0
42494.96,0
42495,0
42495.04,0
42495.08,0
42495.12,0
42495.17,0
42495.21,0.106727358
42495.25,0.108972369
42495.29,0.099790276
42495.33,0.132957779
42495.37,0.277236421
42495.42,0.16741918
42495.46,0.265953176
42495.5,0.20219982
42495.54,0.201450524
42495.58,0.185977953
42495.62,0.135089116
42495.67,0.155074166
42495.71,0.21361979
42495.75,0.002273406
42495.79,0
42495.83,0
42495.87,0
42495.92,0
42495.96,0
42496,0
42496.04,0
42496.08,0
42496.12,0
42496.17,0
42496.21,0.014177994
42496.25,0.071402933
42496.29,0.133929909
42496.33,0.205676985
42496.37,0.214933665
42496.42,0.220086642
42496.46,0.207129642
42496.5,0.249328522
42496.54,0.227787619
42496.58,0.202903496
42496.62,0.127215557
42496.67,0.115214213
42496.71,0.172155744
42496.75,0.001769087
42496.79,0
42496.83,0
42496.87,0
42496.92,0
42496.96,0
42497,0
42497.04,0
42497.08,0
42497.12,0
42497.17,0
42497.21,0.060323852
42497.25,0.115666828
42497.29,0.171611446
42497.33,0.261081171
42497.37,0.289184294
42497.42,0.293343183
42497.46,0.344305925
42497.5,0.299754407
42497.54,0.255465566
42497.58,0.199124929
42497.62,0.164695224
42497.67,0.099600979
42497.71,0.042206124
42497.75,0.001516029
42497.79,0
42497.83,0
42497.87,0
42497.92,0
42497.96,0
42498,0
42498.04,0
42498.08,0
42498.12,0
42498.17,0
42498.21,0.082122309
42498.25,0.174094827
42498.29,0.330706137
42498.33,0.311988424
42498.37,0.359964658
42498.42,0.356998349
42498.46,0.37999421
42498.5,0.494584864
42498.54,0.494534586
42498.58,0.475770671
42498.62,0.391973427
42498.67,0.326921561
42498.71,0.277917106
42498.75,0.000505025
42498.79,0
42498.83,0
42498.87,0
42498.92,0
42498.96,0
42499,0
42499.04,0
42499.08,0
42499.12,0
42499.17,0
42499.21,0.180717505
42499.25,0.424853107
42499.29,0.559161429
42499.33,0.708140252
42499.37,0.815092397
42499.42,0.759983962
42499.46,0.767283013
42499.5,0.806155101
42499.54,0.779125279
42499.58,0.674131134
42499.62,0.583533995
42499.67,0.462754869
42499.71,0.354632171
42499.75,0.03863775
42499.79,0
42499.83,0
42499.87,0
42499.92,0
42499.96,0
42500,0
42500.04,0
42500.08,0
42500.12,0
42500.17,0.007262512
42500.21,0.293173392
42500.25,0.435866968
42500.29,0.426994898
42500.33,0.419371862
42500.37,0.428318243
42500.42,0.412820835
42500.46,0.343288415
42500.5,0.311331811
42500.54,0.363255922
42500.58,0.345599036
42500.62,0.278637551
42500.67,0.113432189
42500.71,0.0493149
42500.75,0.001232065
42500.79,0
42500.83,0
42500.87,0
42500.92,0
42500.96,0
42501,0
42501.04,0
42501.08,0
42501.12,0
42501.17,0.00011906
42501.21,0.029846008
42501.25,0.073702545
42501.29,0.167826758
42501.33,0.247289582
42501.37,0.332616516
42501.42,0.413836724
42501.46,0.347805134
42501.5,0.331671466
42501.54,0.356410088
42501.58,0.395661013
42501.62,0.356979418
42501.67,0.22745586
42501.71,0.109676225
42501.75,0.00287286
42501.79,0
42501.83,0
42501.87,0
42501.92,0
42501.96,0
42502,0
42502.04,0
42502.08,0
42502.12,0
42502.17,0.001070712
42502.21,0.089043605
42502.25,0.114303463
42502.29,0.147778574
42502.33,0.210473571
42502.37,0.267033999
42502.42,0.337357631
42502.46,0.397511351
42502.5,0.388208426
42502.54,0.257228811
42502.58,0.16775284
42502.62,0.185098827
42502.67,0.128555615
42502.71,0.093971962
42502.75,0.018074985
42502.79,0
42502.83,0
42502.87,0
42502.92,0
42502.96,0
42503,0
42503.04,0
42503.08,0
42503.12,0
42503.17,0.006422489
42503.21,0.26203606
42503.25,0.284168548
42503.29,0.442028551
42503.33,0.516894104
42503.37,0.481820302
42503.42,0.466392557
42503.46,0.42963961
42503.5,0.388850803
42503.54,0.523207454
42503.58,0.444229643
42503.62,0.433570819
42503.67,0.375963381
42503.71,0.228527774
42503.75,0.005253889
42503.79,0
42503.83,0
42503.87,0
42503.92,0
42503.96,0
42504,0
42504.04,0
42504.08,0
42504.12,0
42504.17,0.000832016
42504.21,0.046729445
42504.25,0.130012711
42504.29,0.186145276
42504.33,0.166424694
42504.37,0.229978243
42504.42,0.296814148
42504.46,0.371580885
