Date,Desert_NC
40714,0.005381531
40714.04,0.004303124
40714.08,0
40714.12,0.004225043
40714.17,0
40714.21,0
40714.25,0
40714.29,0
40714.33,0
40714.37,0
40714.42,0.074726275
40714.46,0.169624742
40714.5,0.403629373
40714.54,0.372961371
40714.58,0.399896452
40714.62,0.400750804
40714.67,0.144714258
40714.71,0.100627589
40714.75,0.035977294
40714.79,0.082773447
40714.83,0.026410168
40714.87,0.013743859
40714.92,0.007037519
40714.96,0.004915095
40715,0.008371415
40715.04,0.011916062
40715.08,0.009639178
40715.12,0.00805116
40715.17,0.010988635
40715.21,0
40715.25,0.118006468
40715.29,0.02407611
40715.33,0.003588921
40715.37,0.000955944
40715.42,0.002948338
40715.46,0.002299679
40715.5,0
40715.54,0
40715.58,0.00551426
40715.62,0.025360908
40715.67,0.110293991
40715.71,0.178200456
40715.75,0.29680385
40715.79,0.44047285
40715.83,0.440472399
40715.87,0.408732644
40715.92,0.329358193
40715.96,0.314825291
40716,0.375113234
40716.04,0.360207076
40716.08,0.360667838
40716.12,0.258921899
40716.17,0.306477238
40716.21,0.162716927
40716.25,0.015281915
40716.29,0.039425774
40716.33,0.058370119
40716.37,0.053448107
40716.42,0.036567433
40716.46,0.035831475
40716.5,0.064238234
40716.54,0.142545223
40716.58,0.295704096
40716.62,0.333445259
40716.67,0.435098584
40716.71,0.157157652
40716.75,0.042456049
40716.79,0.099116766
40716.83,0.526256197
40716.87,0.471341413
40716.92,0.247663637
40716.96,0.395413166
40717,0.497541746
40717.04,0.387933446
40717.08,0.367523795
40717.12,0.347616543
40717.17,0.332511729
40717.21,0.355108833
40717.25,0.238567804
40717.29,0.233256064
40717.33,0.313386891
40717.37,0.347193129
40717.42,0.391864764
40717.46,0.488766895
40717.5,0.466761226
40717.54,0.541066909
40717.58,0.51920061
40717.62,0.55555841
40717.67,0.646696414
40717.71,0.394405537
40717.75,0.167419847
40717.79,0.62606507
40717.83,0.450129637
40717.87,0.536963819
40717.92,0.65971823
40717.96,0.499987672
40718,0.433543388
40718.04,0.278695232
40718.08,0.290632275
40718.12,0.337442843
40718.17,0.318066088
40718.21,0.314334081
40718.25,0.342445728
40718.29,0.322748656
40718.33,0.318492738
40718.37,0.301034739
40718.42,0.272799734
40718.46,0.247702611
40718.5,0.238039824
40718.54,0.332132653
40718.58,0.400537739
40718.62,0.488055401
40718.67,0.317848013
40718.71,0.269511479
40718.75,0.232822108
40718.79,0.455106049
40718.83,0.578682437
40718.87,0.530205736
40718.92,0.474693122
40718.96,0.450833257
40719,0.606713495
40719.04,0.548971692
40719.08,0.53752264
40719.12,0.509205834
40719.17,0.395675969
40719.21,0.284113686
40719.25,0.036509661
40719.29,0.003187311
40719.33,0
40719.37,0.007573546
40719.42,0.010540687
40719.46,0.01837757
40719.5,0.053552766
40719.54,0.075907171
40719.58,0.081142853
40719.62,0.113976565
40719.67,0.100521621
40719.71,0.108831302
40719.75,0.078329819
40719.79,0.099463498
40719.83,0.149922862
40719.87,0.096267971
40719.92,0
40719.96,0
40720,0
40720.04,0
40720.08,0.006101132
40720.12,0.109705882
40720.17,0.043187866
40720.21,0.063727611
40720.25,0.033337017
40720.29,0.004466121
40720.33,0
40720.37,0.006365757
40720.42,0
40720.46,0.002658264
40720.5,0.002776736
40720.54,0
40720.58,0.018777183
40720.62,0.095121655
40720.67,0.067839053
40720.71,0.092515361
40720.75,0.148719535
40720.79,0.15501374
40720.83,0.168801095
40720.87,0.186320643
40720.92,0.157175723
40720.96,0.174811105
40721,0.203429627
40721.04,0.005171824
40721.08,0.03705078
40721.12,0.181041697
40721.17,0.07116343
40721.21,0.056605714
40721.25,0.017419884
40721.29,0.018626627
40721.33,0.037859544
40721.37,0.014533791
40721.42,0.001140351
40721.46,0.00396846
40721.5,0.01088425
40721.54,0.011964746
40721.58,0.037718158
40721.62,0.047763185
40721.67,0.240473967
40721.71,0.495425501
40721.75,0.542998555
40721.79,0.458686353
40721.83,0.293097037
40721.87,0.170714858
40721.92,0.244529261
40721.96,0.225114812
40722,0.288739427
40722.04,0.307299115
40722.08,0.328898417
40722.12,0.354489019
40722.17,0.324422329
40722.21,0.294731132
40722.25,0.14316996
40722.29,0.110552778
40722.33,0.303516769
40722.37,0.224328485
40722.42,0.019685164
40722.46,0.105319666
40722.5,0.024155938
40722.54,0.066570446
40722.58,0.057860127
40722.62,0.028761188
40722.67,0.70217651
40722.71,0.60412906
40722.75,0.535086446
40722.79,0.712963378
40722.83,0.391602288
40722.87,0.158188802
40722.92,0.267497139
40722.96,0.227281451
40723,0.268444838
40723.04,0.048987062
40723.08,0.005337385
40723.12,0
40723.17,0
40723.21,0.017186077
40723.25,0.014944613
40723.29,0.008328224
40723.33,0.009250988
40723.37,0.022836963
40723.42,0.012259097
40723.46,0.029818716
40723.5,0.003665184
40723.54,0.036370008
40723.58,0.020964838
40723.62,0.017715082
40723.67,0.014546445
40723.71,0.012650792
40723.75,0.005844652
40723.79,0.008488873
40723.83,0
40723.87,0.024809245
40723.92,0.018294189
40723.96,0.08255519
40724,0.03184062
40724.04,0.01030397
40724.08,0.00701544
40724.12,0
40724.17,0
40724.21,0
40724.25,0.002994968
40724.29,0
40724.33,0.001470968
40724.37,0.014130293
40724.42,0.011378053
40724.46,0.008191458
40724.5,0.009835243
40724.54,0.008472438
40724.58,0.003612558
40724.62,0.014047071
