date,pjm_pv_jeremy_3_28
40754.71,0.3271724
40754.75,0.118558524
40754.79,0.017144835
40754.83,0
40754.87,0
40754.92,0
40754.96,0
40755,0
40755.04,0
40755.08,0
40755.12,0
40755.17,0
40755.21,0
40755.25,0.050553712
40755.29,0.24300823
40755.33,0.445974993
40755.37,0.602179156
40755.42,0.703448809
40755.46,0.737988175
40755.5,0.745464142
40755.54,0.705436124
40755.58,0.691480242
40755.62,0.618107661
40755.67,0.462881212
40755.71,0.271716565
40755.75,0.101896373
40755.79,0.013994213
40755.83,0
40755.87,0
40755.92,0
40755.96,0
40756,0
40756.04,0
40756.08,0
40756.12,0
40756.17,0
40756.21,0
40756.25,0.050521921
40756.29,0.240550793
40756.33,0.431441074
40756.37,0.588135185
40756.42,0.690971814
40756.46,0.728560355
40756.5,0.727545829
40756.54,0.664211618
40756.58,0.593373268
40756.62,0.522295786
40756.67,0.27213502
40756.71,0.139024351
40756.75,0.067582704
40756.79,0.009293566
40756.83,0
40756.87,0
40756.92,0
40756.96,0
40757,0
40757.04,0
40757.08,0
40757.12,0
40757.17,0
40757.21,0
40757.25,0.049702606
40757.29,0.244662819
40757.33,0.45461718
40757.37,0.618573687
40757.42,0.715718449
40757.46,0.751510119
40757.5,0.768578813
40757.54,0.758807306
40757.58,0.71351254
40757.62,0.594068422
40757.67,0.42309081
40757.71,0.250640881
